"year","number","question","answer","choice1","choice2","choice3","choice4","choice5"
"2025","1","森林・林業基本計画（令和3（2021）年）における、森林の有する多面的機能を発揮するうえでの望ましい森林の姿の例示に関する次の記述のうち、最も不適切なものはどれか。","4","①山地災害防止機能／土壌保全機能に応じた望ましい森林は、下層植生が生育するための空間が確保され、適度な光が射し込み、下層植生とともに木の根が深く広く発達し土壌を保持する能力に優れた森林であって、必要に応じて山地災害を防ぐ施設が備されている森林である。","②生物多様性保全機能は、すべての森林が発揮する機能であるが、属地的に機能が発揮されるものを示せば、原生的な森林生態系、希少な生物が生育・生息する森林，陸域・水域にまたがり特有の生物が生育・生息する渓畔（けいはん）林等、その土地固有の生物群集を構成する森林である。","③地球環境保全機能は、二酸化炭素の吸収や炭素の固定、蒸発散作用等により地球環境を調節する属地性のない機能であり、すべての森林が発揮するものである。","④快適環境形成機能に応じた望ましい森林は、身近な自然・自然とのふれあいの場として適切に管理され、多様な種等からなり、住民等に憩いと学びの場を提供している森林であって、必要に応じて保健・教育活動に適した施設が整備されている森林である。","⑤木材等生産機能に応じた望ましい森林は、林木の生育に適した土壌を有し、木材として利用するうえで良好な木により構成され成長量が大きい森林であって、林道等の基盤施設が適切に整備されている森林である。"
"2025","2","森林計画制度に関するの記述のうち、最も不適切なものはどれか。","1","①森林・林業基本計画は、政府が、森林及び林業に関する施策の総合的かつ計画的な推進を図るために定める計画で、概ね10年ごとに変更するものとされている。","②全国森林計画は、農林水産大臣が、森林・林業基本計画に即し、かつ、保安施設の整備の状況等を勘案して、全国の森林につき、5年ごとに、15年を1期としてたてる計画である。","③地域森林計画は、都道府県知事が、全国林計画に即して、、森林計画区別に、その森林計画区に係る民有林につき、5年ごとに、10年を1期としてたてる計画である。","④市町村森林整備計画は、市町村が、その区域内にある地域森林計画の対象となっている民有林につき、5年ごとに、10年を1期としてたてる計画である。","⑤森林経営計画は、森林所有者又は森林所有者から森林の経営の委託を受けた者が、自らが森林の経営を行う森林であってこれを一体として備する森林を対象に、単独で又は共同して、5年を1期として作成する計画である。"
"2025","3","林木の育種・育苗に関する次の記述のうち、最も不適切なものはどれか。","5","①林木の種子の寿命は種によって大きく異なり、数週間で発芽力を失うものもあれば、数十年にわたって発芽力を維持するものもある。","②林木の育種には長い年月を要するので、これを短縮させるための手段として、組織培養、DNA分析などのバイオテクノロジーの利用が考えられる。","③苗木の「T／R率」とは、苗木を掘り上げて根の土を落としたうえで、根際から切断し、地上部と地下部の生重量を測定し、「地上部重量（g）÷ 地下部重量（g）」を求めたものである。","④コンテナ苗の栽培に用いられるコンテナは、底面が開放されており、また、キャピティ（育成孔）の側壁にリブ（縦筋の突起）やスリット（縦長の隙間）があり、根巻きを防ぐ構造となっている。","⑤苗畑において苗木の下方に長く伸びた直根を切りつめる作業を根切りといい。苗木への水分の供給を抑制することで、徒長と細根の発生を促し、移植に強い苗木を作る効果などがある。"
"2025","4","森林計測に関するの記述のうち、最も不適切なものはどれか。","2","①胸高直径を測定する際、精密に測定する場合はmm単位で測定することもあるが、通常は2cm括約で測定することが一般的である。","②胸高直径を測定する際、こぶや技などで胸高位置が太くなっている場合は、太いところを避け、胸高位置の上側で測定した値を使用する。","③高は、測定位置から立木までの距離と測定位置から相及び根までのそれぞれの角度を測ることにより、三角比の原理で求めることができる。","④森林内での柑高の測定は胸高直径の測定に比べると労力と時間がかかることなどから、林分内で標本調査を行い，樹高曲線を作成して、胸高直径から高を推定する方法がある。","⑤丸太材積の求積式の1つにフーベル式（Huber式）があり、これは丸太の中央断面積に材長をかけることで材積を求めるものである。"
"2025","5","列状間伐の特徴（優れた点・留意する点）に関する次の記述のうち、最も不適切なものはどれか。","4","①優勢木と劣勢木の割合は、間伐前後で変わらないため、間伐後に形質不良も残る。","②選木は機械的に行うため、容易である。","③残存列が広い場合，伐採列に面しない残存木に間伐効果が及びにくい。","④定性間に比べて、かかり木になりやすいため、適切な伐倒方法により倒方向を確実にする必要がある。","⑤定性間に比べて、残存木の損傷を軽減できる。"
"2025","6","保育作業の実施時期に関する次の記述のうち、最も不適切なものはどれか。","3","①除代は、下刈り後から林分閉鎖までの間、広葉樹を除する場合，ぼう芽力の弱い初夏に行うと効率が良い。","②間伐は、おおよそ10～20年生で開始し、通常は幼壮齢期は5～10年間隔、高齢期は10～20年間隔で繰り返す。作業は成長休止期に実施し、風害・雪害の発生時期は避けることが望ましい。","③枝打ちは、生産目的によるが、幹径がおおよそ10.5cmまでに行えば四面無節の柱材がとれる。厳冬期に行うと効率が良い。","④つる切りは、下刈り後から林分閉鎖までの間、及び除間伐直後、つるが根の貯蔵養分を使い果たした7月頃に行う。","⑤下刈りは、植栽木が雑草木より大きくなるまでの間を目安に、通常は初夏から盛夏に1回又は2回行う。"
"2025","7","森林の経営・管理に関する次の記述うち、最も不適切なものはどれか。","2","①森林を経営し、施業を行うに当たり遵守すべき原則には、公共性の原則，合自然性の原則，保続性の原則，経済性の原則。生物多様性保全の原則などがある。","②林木の価値の評価法には、費用価法、期待価法，市場価逆算法，スマリアン法，グラーゼル法などがある。","③林木の伐期齢には、工芸的伐期齢，森林純収益最高の伐期齢，土地純収益最高の伐期齢，労働生産性最大の伐齢などがある。","④収穫規整には、区画輪法，面積平分法，折衷平分法、齢級法，法正蓄積法などがある。","⑤法正林を成立させる条件には、法正齢配置、法正林分配置、法正成長量などがある。"
"2025","8","環境影響評価と自然生に関する次の記述のうち，最も不適切なものはどれか。","2","①自然環境保全に関するアセスメントを自然環境アセスメントといい，開発行為が生物多様性や自然とのふれあい活動の場に与える影響が評価され、必要に応じて環境保全措置（ミティゲーション）が実施される。","②スクリーニング手続は、重大な環境影響の回避・低減を図るために、事業計画の早期段階で、位置・規模又は配置・構造に関する複数案から環境影響の比較検討を行うものである。","③スコーピングとは、事業と地域の特性に応じて、環境影響評価の方法を検討し、項目や手法の重点化と簡略化を図ってメリハリの利いたものにするための手続のことである。","④環境保全措置（ミティゲーション）で取られる具体的な措置は回避、低減，代償に大別されるが、この3つには優先順位があり、まず回避によって生態系の保全を図り、回避しきれずに生じた影響を低減し、低減してもなお残った影響を代償するという順序が原則である。","⑤自然再生とは、過去に失われた自然を取り戻すことであり、「湿原内の直線化された河川を再蛇行化させることなどによる湿原の再生」、「産廃処理施設の集積により失われた雑木林の再生」，「埋立地を渡り鳥の飛来する干潟に再生」などの例がある。"
"2025","9","ミレニアム生態系評価及び生態系サービスに関するの記述のうち、最も不適切なものはどれか。","5","①ミレニアム生態系評価では、生態系サービスを基盤サービス、調節サービス、供給サービス，文化的サービスの4つの機能に分類している。","②基盤サービスは、他のすべてのサービスを支えるもので、生態系の物質循環や生物多様性，一次生産、土壌の形成などである。","③調節サービスは、大気環境・気候の調節，水資源の調節，土壌侵食の調節，自然災害からの防護など、さらに、病虫害の抑制，花粉媒介や種子散布なども含まれる。","④文化的サービスは、レクリエーションや環境教育の場、審美的な楽しみ、宗教や霊的な基盤，生態系から得られる非物質的・精神的な価値のことである。","⑤ミレニアム生態系評価では、過去50年間に大きな生態系サービスの変化があり、世界の人口増加により、供給サービスにおける穀物、家畜及び養殖漁業は低下し、調節サービスと文化的サービスの多くが向上したと報告されている。"
"2025","10","日本の森林帯に関する次の記述のうち、最も不適切なものはどれか。","4","①亜寒帯常緑針葉林：モミ属、トウヒ属などにより構成され、北海道や本州の高標高地に分布している。","②冷温帯落葉広葉林：ブナ，ミズナラなどにより構成され、北海道の低地，東北地方，関東・北陸から九州の山地に分布している。","③暖温帯落葉広葉林：クリ、ナラ類，シデ類などにより構成され、本州の中部から東北地方の内陸部に分布している。","④暖温帯照葉林：シイ類，カシ類などにより構成され、九州（屋久島含む）から北海道南部まで分布している。","⑤亜熱帯多雨林：アコウ，ガジュマル、マングローブなどにより構成され、沖縄や奄美の島々、小笠原諸島に分布している（小笠原諸島では固有の植物）。"
"2025","11","森林の生物多様性を高めるための森林管理手法に関するの記述のうち，最も不適切なものはどれか。","3","①森林において、多様な動植物の生育・生息環境を確保するには、一定の面的広がりにおいて、様々な種，林分構造，林齢，遷移階などから構成される森林をバランスよく配置することが重要である。","②人工林で共通して取り組むべき事項としては、適時・適切な間の実施などの計画的な森林施業に加え、土砂流出や土壌侵食の防止，生物多様性保全上重要な渓畔の保全などである。","③育成単層林の主後は、多様な樹種を育成するため、前生稚や周辺の母材を利用した天然更新の選択を原則とする。","④長期間にわたって放置された広葉二次林は、大径化し、ナラれ被害の拡大の要因にもなっている。それらの整備は、小面積皆伐などの伐採とぼう芽更新の繰り返しなどにより資源の利用を回復させることが重要となる。","⑤森林におけるシカの食害対策は重要な課題であり、シカ対策は、個体群管理、被害防除対策、生息環境管理の3つの施策を柱として実施する。特に防護柵等の設置は、植栽木等による確実な更新を図り、絶滅危惧種等の保全、伐採地の餌資源の利用を制限する施策として重要である。"
"2025","12","森林の気象被害における森林火災に関する次の記述のうち、最も不適切なものはどれか。","5","①地表火は、地形と風の影響を受けやすく、特に地表（林床）可燃物が多いときには林木の損傷が大きくなり、幹火や冠火へと移行しやすい。","②幹火は、老齢の針葉などの粗いものや、脂の染み出ているもの，立枯れ木、空洞のある大木などで起こりやすい。","③冠火は、アカマツやスギ、ヒノキなどの針葉に起こりやすく、多くの場合林木は地上部分が枯死する。","④地中火は、空気の供給が少ない地中で延焼が進むため、火勢は弱く延焼速度も遅いが、簡単には鎮火せず、延焼方向も複雑で、完全な消火は難しい。","⑤我が国における森林火災は、紅葉が見頃となる秋の行楽シーズンに集中して発生しており、ほとんどは人間の不注意に起因している。"
"2025","13","森林の景観保全・風致施業に関するの記述のうち、最も不適切なものはどれか。","4","①風致施業は主に自然公園内の森林，レクリエーションの森のように景観資源として利用される森林のほか、日常生活域の身近な森林も含め、景観上で重要な森林はすべて風致施業の対象になる。","②自然林内では、危険木や歩道の通行に支障となる倒木を除去するなど、必要最小限の管理だけを行う方法が主流である。","③スギ・ヒノキなどの人工林は、枝打ち・間伐を励行することよって、林内の見通しがよくなるとともに林床の照度が増し、林床植物が繁茂して低木や草本を鑑賞できるようになる。","④代表的な名勝地である京都の嵐山の魅力は、春のサクラ、秋の紅葉などの森林景観であり、現状を改変する行為を禁止することによって景観が保全されている。","⑤京都の北山杉などのように強度の枝打ちを施した林分では、整然と立ち並ぶ幹が美しい景観を形作る。近年、住宅様式の変化に伴う床柱銘木などの需要減がこのような林業景観にも影響を与えつつある。"
"2025","14","日本の森林土壌に関するの記述のうち、最も不適切なものはどれか。","3","①日本は一般に温暖・多雨であるため、森林土壌の塩基類（K、Ca,Mgなど）は流亡しやすく、酸性を呈する。","②森林土壌の生成に影響する斜面形状は、上昇科面、平衡斜面，下降斜面に大別される。上昇斜面は斜面上部に残積土が厚く、下降科面は斜面下部に水分や土砂が集まりやすく崩積土が多い。","③褐色森林土壌群は、温暖・多雨の気候下で生成され、日本に最も多く分布する。溶脱。集積が認められ、典型、暗色型、赤色型，黄色型，表層グライ型の5つの亜群がある。","④土壌の固体・水・空気の容積比を固相・液相・気相の三相組成と呼ぶ。三相組成は自然状態の土壌コアを各層位から採土円筒で採取して測定する。","⑤土壌の水分保持力は、孔隙の状態によって異なる。土壌水分は、水分保持力の程度で重力水、毛管水，吸着水などと呼ばれ、このうち植物に利用可能な水分は重力水，毛管水である。"
